,CLOSE,HIGH,LOW,OPEN,VOLUME,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,NAVALUE,VWAP_VOL,RETURN,DAILY_SENTIMENT,POS_SHARE,NEG_SHARE,NUM_HEADLINES
CLOSE,1.0,0.992413347156123,0.9941815546799971,0.9803776898294764,-0.006286898185234876,0.9999928930325144,0.9999905187754115,0.13833093208742983,0.9980681844475858,0.3107293164767055,0.05503574888872472,0.2869417492311857,,-0.050465372940893115,0.05895133263236907,0.2540517062156899,0.07045075859238525,-0.08092872463316633,-0.45914379285411694
HIGH,0.992413347156123,1.0,0.992556947753266,0.9917972962203203,0.011800966715879904,0.9923822377566051,0.9924806413709569,0.15630729751021374,0.996778361659219,0.3192018043626501,0.055361086431611056,0.3293991817064947,,-0.031410625729293054,-0.021252729797512443,0.22672884796431111,0.061900728687068286,-0.05019619998107851,-0.4245684241084834
LOW,0.9941815546799971,0.992556947753266,1.0,0.99048199972617,-0.053662291489605794,0.9941792932547145,0.9942053383700836,0.09073045693250832,0.997085172195637,0.2693373949196628,0.02529198151337793,0.24529264397949355,,-0.10077379155253612,-0.023171728056486467,0.23808096386366384,0.05437987634735319,-0.07059126531241988,-0.4570371958067886
OPEN,0.9803776898294764,0.9917972962203203,0.99048199972617,1.0,-0.038200542856424116,0.9803209093356249,0.9803962986194598,0.10476844131457988,0.9874704833913216,0.2783465507056372,0.028526672702941815,0.28270997233287914,,-0.08802302931318526,-0.10704288428402481,0.22702060509662556,0.056816659893931976,-0.04893386070807063,-0.4170753112519527
VOLUME,-0.006286898185234876,0.011800966715879904,-0.053662291489605794,-0.038200542856424116,1.0,-0.007582266133087632,-0.007386980591553414,0.9885835138354507,-0.014392572717039224,0.8121682783152319,0.809621844265973,0.7408314694987592,,0.986744871502372,0.34280212732207993,0.16209843661301232,0.14544076665884356,-0.14128190498225623,0.3455586979393768
BID,0.9999928930325144,0.9923822377566051,0.9941792932547145,0.9803209093356249,-0.007582266133087632,1.0,0.9999958254499711,0.1370403184113883,0.9980635521987334,0.3102513938912897,0.05335635381017113,0.2864711525105036,,-0.05154357687060217,0.05888218889746134,0.253739179532119,0.06994975268833246,-0.0808216357940444,-0.45947230987904053
ASK,0.9999905187754115,0.9924806413709569,0.9942053383700836,0.9803962986194598,-0.007386980591553414,0.9999958254499711,1.0,0.13726952290486086,0.9981093745739793,0.3104885316926295,0.05324655433863454,0.2870825589887893,,-0.0514671825325017,0.058359618846782285,0.2534955707963527,0.06968876780264084,-0.08053389256656873,-0.4592887833512891
TRNOVR_UNS,0.13833093208742983,0.15630729751021374,0.09073045693250832,0.10476844131457988,0.9885835138354507,0.1370403184113883,0.13726952290486086,1.0,0.1305145950196216,0.8516146941782371,0.8026638081883731,0.7816419803677184,,0.9675615726365688,0.34932648758262635,0.1984321280031586,0.15722249983593292,-0.14651914437475475,0.26928170808454344
VWAP,0.9980681844475858,0.996778361659219,0.997085172195637,0.9874704833913216,-0.014392572717039224,0.9980635521987334,0.9981093745739793,0.1305145950196216,1.0,0.3035363159094205,0.04640103508440838,0.2886652585735855,,-0.05844326191976774,0.013608531280098974,0.23804808230734545,0.06122426190971317,-0.06405500229605968,-0.45038493881182284
BLKCOUNT,0.3107293164767055,0.3192018043626501,0.2693373949196628,0.2783465507056372,0.8121682783152319,0.3102513938912897,0.3104885316926295,0.8516146941782371,0.3035363159094205,1.0,0.6805465380440742,0.7060446382257369,,0.7737583843310356,0.3195547886731635,0.32247085528299724,0.2428851464702573,-0.22107396469124904,0.09007378457197941
