TIMESTAMP,TRDPRC_1,HIGH_1,LOW_1,ACVOL_UNS,OPEN_PRC,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,TRD_STATUS,SALTIM,NAVALUE,VWAP_VOL
2025-08-04,203.35,207.88,201.675,75109298,204.505,203.25,203.35,15338453269,204.3962,86,22494443,785189,1,72000,,60317217
2025-08-05,202.92,205.34,202.16,44155079,203.4,202.92,202.95,8987677947,203.6361,65,11060310,491748,1,72000,,37289464
2025-08-06,213.25,215.38,205.59,108483103,205.63,213.25,213.27,23091424909,212.7012,118,17637344,1104103,1,72900,,93132559
2025-08-07,220.03,220.85,216.58,90224834,218.875,220.13,220.17,19788714472,219.2901,130,14462569,1007838,1,72000,,82485392
2025-08-08,229.35,231.0,219.25,113853967,220.83,229.36,229.37,25879819066,227.2505,140,14837449,1135405,1,72000,,106956377
2025-08-11,227.18,229.56,224.76,61806132,227.92,227.14,227.27,14049952812,227.3199,97,14376340,692122,1,72000,,57650313
2025-08-12,229.65,230.8,227.07,55672301,228.005,229.63,229.66,12767634937,229.3501,64,15927224,561508,1,72000,,49729229
2025-08-13,233.33,235.0,230.43,69878546,231.07,233.24,233.33,16266065588,232.8011,112,14249953,740719,1,72000,,64666927
2025-08-14,232.78,235.12,230.85,51916275,234.055,232.79,232.82,12083277366,232.6989,92,14343616,558697,1,72900,,44734444
2025-08-15,231.59,234.28,229.335,56038657,234.0,231.62,231.65,12975547274,231.5187,78,23774831,503028,1,72000,,50216675
2025-08-18,230.89,233.12,230.11,37476188,231.7,230.88,230.89,8664135791,231.2181,54,10473858,430736,1,72000,,33569365
2025-08-19,230.56,232.87,229.35,39402564,231.275,230.51,230.58,9095946257,230.8801,61,11639830,445624,1,72000,,34671772
2025-08-20,226.01,230.47,225.77,42263865,229.98,225.97,226.01,9584037062,226.8355,61,11255056,527559,1,72000,,36070214
2025-08-21,224.9,226.52,223.7804,30621249,226.27,224.91,224.92,6889633743,224.9972,43,6196393,406761,1,72000,,27346929
2025-08-22,227.76,229.09,225.41,42477811,226.17,227.75,227.78,9674915624,227.7979,67,12024501,488076,1,72000,,37763833
2025-08-25,227.16,229.3,226.23,30983133,226.48,227.15,227.19,7064023683,228.0561,30,6386621,426385,1,72000,,28400007
2025-08-26,229.31,229.49,224.69,54575107,226.87,229.3,229.37,12454024039,228.0225,71,28221932,405233,1,72000,,45547488
2025-08-27,230.49,230.9,228.26,31259513,228.61,230.45,230.51,7190407545,229.9973,45,7134168,387841,1,72000,,27492196
2025-08-28,232.56,233.41,229.335,38074700,230.82,232.48,232.49,8835416217,232.0585,61,10851201,423338,1,72000,,32439709
2025-08-29,232.14,233.38,231.37,39418437,232.51,232.21,232.27,9157732614,232.3293,78,12184801,428938,1,72000,,34476993
2025-09-02,229.72,230.85,226.97,44075638,229.25,229.66,229.73,10137097619,228.9768,52,8496313,598029,1,72000,,34988757
2025-09-03,238.47,238.85,234.36,66427835,237.21,238.48,238.49,15745334350,236.9385,111,11344726,898535,1,72000,,60428497
2025-09-04,239.78,239.8999,236.74,47549429,238.45,239.71,239.72,11340684107,238.408,76,11710901,541770,1,72000,,42358612
2025-09-05,239.69,241.32,238.4901,54870397,239.995,239.61,239.67,13151179587,239.6716,86,13233435,610786,1,72900,,46957223
2025-09-08,237.88,240.15,236.34,48999495,239.3,237.9,237.92,11671996510,238.2193,77,12590532,563611,1,72900,,41290731
2025-09-09,234.35,238.7805,233.36,66313918,237.0,234.34,234.35,15622184233,235.6482,78,9505587,757845,1,72000,,61276703
